CODIGO ; NIVEL DE ACCESO ; NOMBRE ; CATEGORIA ; DESCRIPCION CORTA ; DESCRIPCION ; IMPORTE ; ACTIVO/EN VENTA ; NOMBRE ARCHIVO IMAGEN  ; NOMBRE SKU ; COLOR ; CODIGO DE BARRAS DE FORMATO ; LONGITUD ; ANCHO ; ALTO ; ABREVIACION DE UNIDAD DE MEDIDA DE LONGITUD ; ABREVIACION DE UNIDAD DE MEDIDA DE CANTIDAD ; NIVEL DE ACCESO DEL FORMATO ; ACTUALIZAR PAR√ÅMETROS ; ACTUALIZAR GALERIA IMAGENES DE PRODUCTO ; ACTUALIZAR GALERIA IMAGENES DE FORMATO
40833        ; 100 ; CojÌn matrÌculas de colores    ; Mueble ;  ;  ; 0 ; 1 ;  ; 40833        ;  ; 8435406129918 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40834        ; 100 ; CojÌn matrÌculas negro y rojo  ; Mueble ;  ;  ; 0 ; 1 ;  ; 40834        ;  ; 8435406129925 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40835        ; 100 ; CojÌn reloj marrÛn             ; Mueble ;  ;  ; 0 ; 1 ;  ; 40835        ;  ; 8435406129932 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40836        ; 100 ; CojÌn reloj negro              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40836        ;  ; 8435406129949 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40837        ; 100 ; CojÌn route                    ; Mueble ;  ;  ; 0 ; 1 ;  ; 40837        ;  ; 8435406129956 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40838        ; 100 ; CojÌn mariposas                ; Mueble ;  ;  ; 0 ; 1 ;  ; 40838        ;  ; 8435406129963 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40839        ; 100 ; CojÌn manzanas                 ; Mueble ;  ;  ; 0 ; 1 ;  ; 40839        ;  ; 8435406129970 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40840        ; 100 ; CojÌn serpiente beige          ; Mueble ;  ;  ; 0 ; 1 ;  ; 40840        ;  ; 8435406129987 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40841        ; 100 ; CojÌn serpiente beige          ; Mueble ;  ;  ; 0 ; 1 ;  ; 40841        ;  ; 8435406129994 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40842        ; 100 ; CojÌn serpiente negro          ; Mueble ;  ;  ; 0 ; 1 ;  ; 40842        ;  ; 8435406130006 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40843        ; 100 ; CojÌn serpiente negro          ; Mueble ;  ;  ; 0 ; 1 ;  ; 40843        ;  ; 8435406130013 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40844        ; 100 ; CojÌn tigre beige              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40844        ;  ; 8435406130020 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40845        ; 100 ; CojÌn tigre beige              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40845        ;  ; 8435406130037 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40846        ; 100 ; CojÌn tigre negro              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40846        ;  ; 8435406130044 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40847        ; 100 ; CojÌn tigre negro              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40847        ;  ; 8435406130051 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40848        ; 100 ; CojÌn Vespa                    ; Mueble ;  ;  ; 0 ; 1 ;  ; 40848        ;  ; 8435406130068 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40849        ; 100 ; CojÌn Vespa                    ; Mueble ;  ;  ; 0 ; 1 ;  ; 40849        ;  ; 8435406130075 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40850        ; 100 ; CojÌn Vespa classic            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40850        ;  ; 8435406130082 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40851        ; 100 ; CojÌn zapatilla                ; Mueble ;  ;  ; 0 ; 1 ;  ; 40851        ;  ; 8435406130099 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40852        ; 100 ; CojÌn sellos                   ; Mueble ;  ;  ; 0 ; 1 ;  ; 40852        ;  ; 8435406130105 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40853        ; 100 ; CojÌn perfumes                 ; Mueble ;  ;  ; 0 ; 1 ;  ; 40853        ;  ; 8435406130112 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40854        ; 100 ; CojÌn plumas                   ; Mueble ;  ;  ; 0 ; 1 ;  ; 40854        ;  ; 8435406130129 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40855        ; 100 ; CojÌn plumas                   ; Mueble ;  ;  ; 0 ; 1 ;  ; 40855        ;  ; 8435406130136 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40856        ; 100 ; CojÌn elefantes                ; Mueble ;  ;  ; 0 ; 1 ;  ; 40856        ;  ; 8435406130143 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40857        ; 100 ; CojÌn flor                     ; Mueble ;  ;  ; 0 ; 1 ;  ; 40857        ;  ; 8435406130150 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40858        ; 100 ; CojÌn flor                     ; Mueble ;  ;  ; 0 ; 1 ;  ; 40858        ;  ; 8435406130167 ; 60 ; 60 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40859        ; 100 ; CojÌn news                     ; Mueble ;  ;  ; 0 ; 1 ;  ; 40859        ;  ; 8435406130174 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40860        ; 100 ; CojÌn Motegi negro             ; Mueble ;  ;  ; 0 ; 1 ;  ; 40860        ;  ; 8435406130181 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40861        ; 100 ; CojÌn Motegi negro             ; Mueble ;  ;  ; 0 ; 1 ;  ; 40861        ;  ; 8435406130198 ; 50 ; 30 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40864        ; 100 ; CojÌn Motegi lila              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40864        ;  ; 8435406130228 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40866        ; 100 ; CojÌn Motegi naranja           ; Mueble ;  ;  ; 0 ; 1 ;  ; 40866        ;  ; 8435406130242 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40867        ; 100 ; CojÌn Motegi naranja           ; Mueble ;  ;  ; 0 ; 1 ;  ; 40867        ;  ; 8435406130259 ; 50 ; 30 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50046        ; 100 ; Puff tela estampado            ; Mueble ;  ;  ; 0 ; 1 ;  ; 50046        ;  ; 8435406123503 ; 40 ; 40 ; 40 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50047        ; 100 ; Puff tela estampado            ; Mueble ;  ;  ; 0 ; 1 ;  ; 50047        ;  ; 8435406123510 ; 40 ; 40 ; 40 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50052        ; 100 ; Espejo marco blanco            ; Mueble ;  ;  ; 0 ; 1 ;  ; 50052        ;  ; 8435406123572 ; 75 ; 5 ; 95 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50057        ; 100 ; Espejo marco plata             ; Mueble ;  ;  ; 0 ; 1 ;  ; 50057        ;  ; 8435406123626 ; 75 ; 5 ; 95 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50058        ; 100 ; Silla escritorio matrÌculas    ; Mueble ;  ;  ; 0 ; 1 ;  ; 50058        ;  ; 8435406124074 ; 43 ; 42 ; 92 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50059        ; 100 ; Silla escritorio fÛrmulas      ; Mueble ;  ;  ; 0 ; 1 ;  ; 50059        ;  ; 8435406124081 ; 43 ; 42 ; 92 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50060        ; 100 ; Silla escritorio blanca        ; Mueble ;  ;  ; 0 ; 1 ;  ; 50060        ;  ; 8435406124098 ; 43 ; 42 ; 92 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50061        ; 100 ; Silla escritorio Nueva York    ; Mueble ;  ;  ; 0 ; 1 ;  ; 50061        ;  ; 8435406124104 ; 43 ; 42 ; 92 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50062        ; 100 ; Mesa escritorio mapa del mundo ; Mueble ;  ;  ; 0 ; 1 ;  ; 50062        ;  ; 8435406124111 ; 90 ; 50 ; 73 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50063        ; 100 ; Mesa escritorio  city lights   ; Mueble ;  ;  ; 0 ; 1 ;  ; 50063        ;  ; 8435406124128 ; 80 ; 50 ; 77 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50064        ; 100 ; Mesa escritorio cristal negro  ; Mueble ;  ;  ; 0 ; 1 ;  ; 50064        ;  ; 8435406124135 ; 100 ; 50 ; 75 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50065        ; 100 ; Mesa escritorio cristal Londre ; Mueble ;  ;  ; 0 ; 1 ;  ; 50065        ;  ; 8435406124142 ; 120 ; 60 ; 75 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50067        ; 100 ; Mesa escritorio cristal negro  ; Mueble ;  ;  ; 0 ; 1 ;  ; 50067        ;  ; 8435406124166 ; 120 ; 60 ; 76 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50068        ; 100 ; Mesa escritorio Marilyn        ; Mueble ;  ;  ; 0 ; 1 ;  ; 50068        ;  ; 8435406124173 ; 113 ; 58 ; 73 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50069        ; 100 ; Mesa escritorio cristal  city  ; Mueble ;  ;  ; 0 ; 1 ;  ; 50069        ;  ; 8435406124180 ; 110 ; 55 ; 75 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50070        ; 100 ; Mesa escritorio cristal  USA   ; Mueble ;  ;  ; 0 ; 1 ;  ; 50070        ;  ; 8435406124197 ; 120 ; 60 ; 72 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50071        ; 100 ; Mozo perchero negro            ; Mueble ;  ;  ; 0 ; 1 ;  ; 50071        ;  ; 8435406124203 ; 55 ; 55 ; 175 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50072        ; 100 ; Mozo perchero blanco           ; Mueble ;  ;  ; 0 ; 1 ;  ; 50072        ;  ; 8435406124210 ; 55 ; 55 ; 175 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50073        ; 100 ; Mozo perchero plateado         ; Mueble ;  ;  ; 0 ; 1 ;  ; 50073        ;  ; 8435406124227 ; 55 ; 55 ; 175 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50074        ; 100 ; Espejo metal blanco            ; Mueble ;  ;  ; 0 ; 1 ;  ; 50074        ;  ; 8435406124234 ; 120 ; 3 ; 60 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50075        ; 100 ; Espejo de metal blanco         ; Mueble ;  ;  ; 0 ; 1 ;  ; 50075        ;  ; 8435406124241 ; 90 ; 3 ; 90 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50076        ; 100 ; Recibidor de metal blanco      ; Mueble ;  ;  ; 0 ; 1 ;  ; 50076        ;  ; 8435406124258 ; 90 ; 37 ; 75 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50077        ; 100 ; Parag¸ero de metal blanco      ; Mueble ;  ;  ; 0 ; 1 ;  ; 50077        ;  ; 8435406124265 ; 24 ; 24 ; 60 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50079        ; 100 ; Espejo de metal plata          ; Mueble ;  ;  ; 0 ; 1 ;  ; 50079        ;  ; 8435406124289 ; 90 ; 3 ; 90 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50080        ; 100 ; Recibidor de metal plata       ; Mueble ;  ;  ; 0 ; 1 ;  ; 50080        ;  ; 8435406124296 ; 90 ; 37 ; 75 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50081        ; 100 ; Parag¸ero de metal plata       ; Mueble ;  ;  ; 0 ; 1 ;  ; 50081        ;  ; 8435406124302 ; 24 ; 24 ; 60 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50083        ; 100 ; Juego de dos mesas de metal    ; Mueble ;  ;  ; 0 ; 1 ;  ; 50083        ;  ; 8435406124449 ; 59 ; 54 ; 60 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50084        ; 100 ; Juego de dos mesas de metal    ; Mueble ;  ;  ; 0 ; 1 ;  ; 50084        ;  ; 8435406124456 ; 55 ; 49 ; 60 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50085        ; 100 ; Mesa rinconera cristal y metal ; Mueble ;  ;  ; 0 ; 1 ;  ; 50085        ;  ; 8435406124463 ; 51 ; 51 ; 50 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50086        ; 100 ; Banco de metal                 ; Mueble ;  ;  ; 0 ; 1 ;  ; 50086        ;  ; 8435406124470 ; 80 ; 31 ; 54 ; Cm ; U ; 100 ; 0 ; 0 ; 0
50087        ; 100 ; Mesa centro de metal y cristal ; Mueble ;  ;  ; 0 ; 1 ;  ; 50087        ;  ; 8435406124487 ; 80 ; 80 ; 40 ; Cm ; U ; 100 ; 0 ; 0 ; 0
